"State","numBreweries","barrelsProduced"
"California","907","3664080"
"Colorado","425","1529613"
"Washington","423","583.9560"
"New York","423","1347435"
"Pennsylvania","401","3606444"
"Michigan","400","903153"
"Texas","341","1180393"
"North Carolina","333","1296320"
"Florida","329","1401142"
"Oregon","311","1012854"
"Ohio","311","1334762"
"Virginia","290","344972"
"Illinois","284","421809"
"Wisconsin","205","883648"
"Minnesota","196","644655"
"Indiana","192","266443"
"Massachusetts","175","638231"
"Missouri","140","363383"
"Maine","133","361705"
"New Jersey","127","171097"
"Arizona","127","194013"
"Maryland","112","301966"
"Georgia","111","514414"
"Tennessee","108","194669"
"Iowa","105","141942"
"Connecticut","104","236444"
"New Mexico","94","144530"
"Montana","92","218547"
"New Hampshire","91","117314"
"South Carolina","88","109987"
"Idaho","73","91819"
"Kentucky","69","130940"
"Vermont","68","345590"
"Kansas","59","45846"
"Oklahoma","55","79747"
"Nebraska","55","54892"
"Alabama","51","84013"
"Nevada","45","87469"
"Alaska","45","202797"
"Utah","42","174323"
"Arkansas","42","46272"
"Wyoming","41","56403"
"Louisiana","40","237721"
"South Dakota","33","20843"
"Rhode Island","33","65140"
"West Virginia","28","22964"
"Delaware","27","317328"
"Hawaii","24","85256"
"North Dakota","22","21225"
"Mississippi","14","25257"
